term,count
acclimatized,5243
adventive,667
alien,23718
allochthonous,4706
anthropochore,96
archaeophyte,230
bioinvader,35
biopollution,30
casual,4820
colonizer,5954
cryptogenic,825
domestic (iea),23
escaped,47278
established,702862
exotic,27869
expanding,191252
extralimital,370
feral,7041
foreign,95589
immigrant,19985
imported,65670
intra-country established alien,1
introduced,400588
invader,9978
invasive,145218
invasive alien,4258
invasive non-native,471
invasive super-dominant,0
migrant,30989
naturalized,4247
neobiota,40
neonative,15
neophyte,766
new non-native,18958
newcomer,2367
non-indigenous,5249
non-native,18958
non-resident,1836
noxious,6201
nuisance,5736
pest,156616
quarantine,8197
questionable,8394
range-expanding,344
released,483542
restocked,1719
tramp,789
transferred,499678
transformer,5575
transient,152679
translocated,26841
transplanted,64378
transported,531263
unwanted,11370
vagrant,772
vermin,147
waif,74
weed,57863
xenobiota,1